delay,avg_diff_ratio
-3.0,0.021933975345889294
-2.5,0.0003614634954935191
-2.0,0.00818675302152749
-1.5,0.0005495541251683972
-1.0,-0.009671614566521877
-0.5,0.007646953752114399
0.0,0.004923479455245177
0.5,-0.024964222736776943
1.0,-0.05251976174264412
1.5,-0.027458688344547455
2.0,-0.00038740207363015055
2.5,0.000890540300003037
3.0,0.035983418154502615
3.5,0.006972022151098438
4.0,-0.011120202260826958
4.5,-0.024696422811008468
5.0,-0.018309516545952306
5.5,0.0021080941064609243
6.0,0.02249640929241151
6.5,0.01441952940711827
7.0,-0.00356141378744501
7.5,-0.028398748959358115
8.0,-0.0073292109637442615
8.5,0.007424117526283065
9.0,6.582897555727253e-05
9.5,0.010217485307927975
10.0,0.0019466391812959782
10.5,0.00273938878370922
11.0,-0.01720214957745627
11.5,0.012118912843157024
12.0,-0.003634494640020611
12.5,0.012858010153347338
13.0,-0.0055338122100879105
13.5,-0.0011615962195917994
14.0,-0.012817413459299792
14.5,-0.010455096150505975
15.0,0.005048439826216418
15.5,0.006792517870166009
16.0,-0.005375942301072284
16.5,-0.007172623241261803
17.0,-0.008899942940416971
17.5,-0.008615474193449851
18.0,0.020041927224849116
18.5,-0.012792626951860911
19.0,0.007808740703185753
19.5,-0.00926192327452965
