frequency,amplitude
0.03125,0.09202781271383419
0.0625,0.1098058769029321
0.09375,0.02495029239615401
0.125,0.06341799417883524
0.15625,0.15365334465614555
0.1875,0.15070671023214371
0.21875,0.0731631629642955
0.25,0.11474192925014083
0.28125,0.11981639489578907
0.3125,0.27511394856054416
0.34375,0.14528533043679595
0.375,0.13657726528618752
0.40625,0.08517561694864255
0.4375,0.037378912534401544
0.46875,0.06842308872974351
0.5,0.027491154125514995
0.53125,0.055918683938497
0.5625,0.06670813616805811
0.59375,0.022090237941984697
0.625,0.06441930162434108
0.65625,0.057382793679645716
0.6875,0.06850210685609827
0.71875,0.07525103617874501
0.75,0.06893983528370944
0.78125,0.08020982663015999
0.8125,0.055731614217964034
0.84375,0.07816298952174423
0.875,0.05254704261206668
0.90625,0.01778458099404975
0.9375,0.04921450793441549
0.96875,0.04293837167955496
1.0,0.04171349949265665
1.03125,0.03155148619745053
1.0625,0.07913806129636551
1.09375,0.08194449915454638
1.125,0.08254527318029524
1.15625,0.052605134210476696
1.1875,0.0703029915071218
1.21875,0.1152219041641604
1.25,0.03059699802955802
1.28125,0.028842043218299498
1.3125,0.019347764576120457
1.34375,0.07840099989954995
1.375,0.05682186536122344
1.40625,0.1272184445301383
1.4375,0.03861058888482979
1.46875,0.04978965367779244
1.5,0.06297955967608755
1.53125,0.11134676803181227
1.5625,0.07312960919158724
1.59375,0.05227685945948151
1.625,0.05656138893751163
1.65625,0.03713117625284337
1.6875,0.05191866620364643
1.71875,0.016833516960713855
1.75,0.05290477977531052
1.78125,0.035052871445087286
1.8125,0.045217577750330216
1.84375,0.08638294366979662
1.875,0.04561468920775224
1.90625,0.04063146112071244
1.9375,0.13054153807479268
1.96875,0.040107141093233496
